#=======Menu Item=======#
0x01	ファイル
0x531	コードのフォーマット上の問題を解析し、検出された不整合を修正する。
0x532	Windowsレジストリキーのファイルをエクスポートする。
0x533	GitHub上のソースコード。

0x53a	デフォルト画像
0x53b	画像を表示する
0x53c	画像ファイルの保存場所を開く。
0x53d	データベースでカードを開く。
0x53e	カードスクリプトを開く。
0x53f	Konamiデータベースのウェブサイトでカードを開く。
0x540	Yugipediaのウェブサイトでカードを開く。
0x541	YGO Resourcesのウェブサイトでカードを開く。

0x545	開くファイルを選択：
0x546	{0} ファイル形式を選択

0x54a	カードはすべてのフィルター条件を満たす必要がある。
0x54b	カードはいずれか1つのフィルター条件を満たせばよい。
0x54c	グループ間にはANDを適用し、各グループ内にはORを適用する。
0x54d	グループ間にはORを適用し、各グループ内にはANDを適用する。

0x551	カードの効果説明を置き換える。
0x552	現在のリストで選択されたフィールドのみを、IDが一致するインポートデータベースファイルのデータで置き換えます。新しいカードは、「新しいカードを追加」がオンになっている場合にのみ追加されます。
0x553	インポートされたデータベース ファイルからカードをインポートします。既存のカードは選択されたフィールドのみを置き換えます。フィールドが選択されていない場合はスキップされます。

#=======Object=======#
0x591	{0}ファイル
0x592	{0}を保存
0x593	{0}{1}を保存
0x594	{0}を開く
0x595	{0}{1}を開く
0x596	{0}を選択

0x5a3	カードアーカイブ
0x5a4	カードリスト
0x5a5	カードデータベース
0x5a6	カードレアリティデータベース
0x5a7	レアリティ一覧データベース
0x5a8	ジェネシスカードデータベース
0x5a9	クレジットデータベース
0x5aa	カードスクリプト
0x5ab	スクリプト
0x5ac	画像
0x5ad	Ceds
0x5ae	デッキ
0x5af	禁止リスト
0x5b0	テキストドキュメント
0x5b1	マークダウン
0x5b2	ログ
0x5b3	YAML
0x5b4	Zip
0x5b5	Excel
0x5b6	動画
0x5b7	JSON
0x5b8	すべて
0x5b9	不明
0x5ba	フォルダ

0x5bb	パス
0x5bc	フォーマット
0x5bd	ハンドル
0x5be	操作
0x5bf	権限
0x5c0	エンコーディング

#=======Card Element=======#
0x5d1	ID
0x5d2	識別子
0x5d3	別名
0x5d4	カード名
0x5d5	カード説明
0x5d6	文字列
0x5d7	範囲
0x5d8	カード種類
0x5d9	種族
0x5da	キャラクター
0x5db	属性
0x5dc	テーマ
0x5dd	カテゴリ
0x5de	フラグ
0x5df	ジャンル

0x5e1	レベル
0x5e2	マイナスレベル
0x5e3	ランク
0x5e4	ＬＩＮＫの数値
0x5e5	リンクマーカー
0x5e6	ペンデュラムスケール
0x5e7	マキシマム
0x5e8	サポート

0x5e9	攻撃力
0x5ea	守備力
0x5eb	幅
0x5ec	高さ
0x5ed	レアリティ

0x5ee	左
0x5ef	右

--0x2ae	Sort cards in the list in order:
--0x2af	Right click to sort by default.

#=======Script Support=======#
0x5f7	カードテキスト
0x5f8	カードデータ
0x5f9	カード画像
0x5fa	カード情報

0x5fb	カード検索
0x5fc	スクリプト検索
0x5fd	Scrapi名検索
0x5fe	Scrapi説明検索

0x5ff	：

#=======Message=======#
0x621	エラー
0x622	警告
0x623	情報
0x624	通知
0x625	質問

0x626	リセットしますか？
0x627	クリアしますか？
0x628	削除しますか？

0x62a	データソースエラー
0x62b	データソースが見つからないか存在しません。更新を確認し、アプリを再起動してください。
0x62c	エラーが発生しました：

0x631	{0} {1}:
0x632	{0} {1} {2}:
0x633	{0} {1} {2} {3}:

0x635	{0} {1} に成功しました！
0x636	{0} {1} {2} に成功しました！
0x637	{0} {1} {2} {3} に成功しました！

0x638	エラー {0}:
0x639	エラー {0} {1}:
0x63a	エラー {0} {1} {2}:
0x63b	エラー {0} {1} {2} {3}:

0x63c	無効な {0}:
0x63d	無効な {0} {1}:
0x63e	無効な {0} {1} {2}:

0x63f	要求により処理はキャンセルされました。
0x640	重大なエラーが発生したため、すべての変更が元に戻されました。

0x651	データ取得エラー：
0x652	データベース接続エラー：
0x653	リポジトリのクローンエラー：
0x654	「data\CardData」フォルダを削除して再試行する必要があります。
0x655	カードデータベースの読み込みエラー：
0x656	画像キャッシュの読み込みエラー：

0x65a	許可された範囲外です。
0x65b	空にすることはできません。

0x65c	背景色コードが無効です。
0x65d	前景色コードが無効です。

0x661	カードが見つかりません。
0x662	カードが選択されていません。
0x663	コピーするカードがありません。
0x664	エクスポートするカードがありません。
0x665	フィルター対象のカードがありません。
0x666	保存するカードがありません。
0x667	置き換え対象のカードがありません。
0x668	レアリティが選択されていません。
0x669	ファイルが見つかりません。
0x66a	デッキが見つかりません。
0x66b	ウィンドウが選択されていません。
0x66c	カードデータベースが選択されていません。
0x66d	有効なカードが見つかりません。
0x66e	有効なデータが見つかりません。
0x66f	クリップボードに有効なデータがありません。
0x670	一般ユーザー向けではありません。
0x671	コナミIDが見つかりません。
0x672	このカードをYugipediaで検索できません。

0x681	フォルダが存在しません。
0x682	ファイルが存在しません。
0x683	ファイルは既に存在します。
0x684	データベースにカードが存在しません。
0x685	カードIDは既に存在します。
0x686	カードIDが存在しません。
0x687	リストにカードIDが存在しません。
0x688	フォルダではありません。
0x689	データベースファイルではありません。
0x68a	画像ファイルではありません。
0x68b	幅または高さの値が有効な数値ではありません。

0x691	ID {0} のスクリプトファイルが見つかりません。
0x692	ID {0} のスクリプトファイルが空です。
0x693	ID {0} の説明が見つかりません。

0x6a1	Zipファイルのエクスポートに成功しました：
0x6a2	Excelファイルのエクスポートに成功しました：
0x6a3	レジストリファイル（.reg）が正常に作成されました。保存先：
0x6a4	このファイルは、CardEditorX を以下のファイル形式の関連付け先として登録します：
0x6a5	「ダブルクリックで開く」に表示されるファイル形式：
0x6a6	「プログラムから開く」に表示されるファイル形式：
0x6a7	ファイルをダブルクリックして適用します。Windows はレジストリへの書き込み前に確認を表示します。
0x6a8	レジストリの登録解除が正常に完了しました！

0x6aa	関数データの抽出に成功しました！
0x6ab	定数データの抽出に成功しました！
0x6ac	リポジトリのクローンに成功しました！
0x6ad	データの更新に成功しました！
0x6ae	設定をデフォルトにリセットしました。適用するにはアプリケーションを再起動してください。
0x6af	フィルターに成功しました！全{1}件中{0}件のカードが見つかりました。
0x6b0	置換に成功しました！全{1}件中{0}件のカードを置換しました。
0x6b1	{0} が正常に変更されました！全{2}枚中{1}枚のカードに適用されました。
0x6b2	{0} {1} を {2} にリネームしました。成功しました！

0x6b5	APIエンドポイントまたはAPIキーが設定されていません。

0x6e1	カードIDが変更されました。
0x6e2	選択したカードまたは新しく入力されたIDのカードを削除しますか？
0x6e3	選択したカードまたは新しく入力されたIDのカードスクリプトを作成しますか？
0x6e4	選択したカードまたは新しく入力されたIDの画像を作成しますか？

0x6e5	新しく入力されたID
0x6e6	元データ
0x6e7	未保存データ

0x6ea	形式を自動的に変換する（一部のデータが失われる可能性があります）
0x6eb	この形式と互換性のある新しいタブを開く

0x700	{0}個のタブを閉じようとしています。
0x701	未保存のデータがあります。
0x702	前回の実行からロールバックされていないスナップショットが1件あります。
0x703	カードリストに{0}個の重複IDがあります。
0x704	「flag」列を追加しますか？
0x705	続行しますか？
0x706	開きますか？
0x707	上書きしますか？
0x708	このファイルの変更を保存しますか？
0x709	よろしいですか？4桁以下のカードIDはゲームで無視される可能性があります。
0x70a	{1}を{0}してもよろしいですか？

0x70b	{0}を完全に削除してもよろしいですか？
0x70c	設定をデフォルトにリセットしてもよろしいですか？すべての変更は失われます。
0x70d	最近開いた{0}の履歴を削除してもよろしいですか？
0x70e	空のファイルを保存してもよろしいですか？
0x70f	Windows レジストリから CardEditorX のファイル形式の登録を解除しますか？
0x710	現在のタブと互換性のない{1}形式のデータを{0}しようとしています。どのように処理しますか？
0x711	アップデートがあります。今すぐダウンロードしますか？
0x712	カードリソースパックをダウンロードしますか？
0x713	選択したデータをどのように処理しますか？
0x714	更新は見つかりませんでした。
0x715	アップデート完了！

0x725	複数回試行しましたが、既存のファイルを削除できませんでした。
0x726	git.exeのパスが見つかりません。Gitがインストールされていること、およびアプリケーション設定で正しいパスが指定されていることを確認してください。
0x727	設定内にGitパスが存在しないか空です。デフォルトのGitパスを使用します。
0x728	シンタックスハイライトファイルが存在しません。
0x729	デフォルトのパスを使用します。

#=======Chat=======#
0x751	チャット一覧
0x752	新しいチャット
0x753	チャットを削除
0x754	ChatBotに何でも質問してください。
0x755	ファイルを添付
0x756	画像を添付
0x757	動画を添付

0x758	APIエンドポイント
0x759	APIキー

#=======BanList Editor=======#
0x771	制限リスト：
0x772	ホワイトリスト
0x773	制限：
0x774	禁止カード
0x775	制限カード
0x776	準制限カード
0x777	無制限カード

#=======Deck Editor=======#
0x781	デッキ：
0x782	使用可能カード
0x78a	カードを検索
0x78b	新しい名前

0x791	メインデッキ
0x792	エクストラデッキ
0x793	サイドデッキ

0x7a1	モンスター：
0x7a2	魔法：
0x7a3	罠：
0x7a4	スキル：

0x7a5	儀式：
0x7a6	融合：
0x7a7	シンクロ：
0x7a8	エクシーズ：
0x7a9	リンク：
